id;name;host_id;neighbourhood_group;latitude;longitude;is_entire_home;price;number_of_reviews;last_review
19124402;Amplio y nuevo apartamento en el centro de Sevilla;60075384;Casco Antiguo;37.39193;-5.985;true;177;1;19/11/2017
19125543;Apartamento nuevo con encanto en centro de Sevilla;60075384;Casco Antiguo;37.39178;-5.98679;false;120;0;
19126344;Apartamento con encanto en el centro de Sevilla;60075384;Casco Antiguo;37.39233;-5.98574;true;130;0;
19127470;Habitación doble en un cómodo barrio de Sevilla;41593099;Macarena - Norte;37.41067;-5.97059;false;15;26;26/04/2020
19168499;Stunning Boutique Apartment;57717385;Casco Antiguo;37.39;-5.98882;true;145;16;16/02/2020
19174443;You second home in San Bernardo;88245145;Casco Antiguo;37.38615;-5.98765;true;70;142;03/03/2020
19185452;Moderno apartamento en el corazón de Sevilla;60804791;Casco Antiguo;37.38975;-5.99735;true;76;199;16/03/2020
19189101;NEW, LUXURY AND USEFUL IN FRONT OF CATHEDRAL;104080643;Casco Antiguo;37.38684;-5.99394;true;56;183;02/12/2020
19201324;Dama's room;102310846;San Pablo - Santa Justa;37.40107;-5.96066;false;33;13;28/09/2018
19219220;Cozy studio with swimming pool in front of FIBES;14958822;Este - Alcosa - Torreblanca;37.40749;-5.93434;true;46;71;07/02/2021
19253529;thesuites SEVILLA;1838761;Casco Antiguo;37.39495;-5.99059;true;79;21;24/02/2020
19253792;LOFT DE LUJO SEVILLA CENTRO. A/A WIFI PISCINA 6PAX;6498253;Casco Antiguo;37.39934;-5.99851;true;245;85;15/07/2020
19259144;AlohaMundi Catedral;118796113;Casco Antiguo;37.38735;-5.99036;true;48;33;09/01/2021
19286140;Apartment with 4 bedrooms in Sevilla, with wonderful city view, furnished balcony and WiFi;107246527;Casco Antiguo;37.39218;-5.99438;true;303;4;23/01/2018
19310111;Private room for 1 person. Wifi+Netflix;26157318;Nervión;37.39116;-5.98145;false;18;249;07/03/2020
19322433;New apartment in the center;4790497;Casco Antiguo;37.39539;-5.99341;true;82;2;29/04/2019
19322663;Wonderful apartment with large terrace in Triana;115669804;Triana;37.38165;-6.00492;true;81;5;16/10/2019
